Main Ship Speed,Lead Times,Lead Times Category,Average Unit Price,# Units Sold,Gross Revenue,Total Costs,Gross Margin,Branded,Brand Awareness,Source
Large Parcel,1,24 Hours,1310,1161,1520910,1328714,0.1263690816682117,N,0.0,Potential
Large Parcel,2,48 Hours,75,315,23625,22320,0.0552380952380952,Y,0.02,Current
Large Parcel,3,72 Hours,177,199,35223,28946,0.1782074212872271,Y,0.05,Current
Small Parcel,19,2-3 Weeks,162,1242,201204,188366,0.0638058885509234,N,0.0,Potential
Small Parcel,13,1-2 Weeks,272,146,39712,31863,0.1976480660757453,Y,0.18,Potential
Small Parcel,1,24 Hours,607,1583,960881,832661,0.1334400409624084,N,0.0,Potential
Large Parcel,1,24 Hours,1367,524,716308,556497,0.2231037486667746,N,0.0,Potential
Large Parcel,22,3-4 Weeks,119,122,14518,11393,0.2152500344400055,Y,0.04,Potential
Large Parcel,11,1-2 Weeks,675,4903,3309525,2612791,0.2105238667180335,N,0.0,Potential
Small Parcel,1,24 Hours,3578,215,769270,629934,0.1811275624943127,N,0.0,Current
Small Parcel,9,1-2 Weeks,998,689,687622,624829,0.0913190677436149,N,0.0,Potential
Small Parcel,1,24 Hours,2456,564,1385184,1237520,0.1066024441518238,Y,0.04,Potential
Large Parcel,24,3-4 Weeks,1254,3028,3797112,3450812,0.0912008916250034,Y,0.02,Potential
Large Parcel,1,24 Hours,659,1376,906784,804910,0.1123464904541765,N,0.0,Potential
Small Parcel,14,2-3 Weeks,1785,895,1597575,1491388,0.0664676149789524,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,439,244,107116,84062,0.2152246163038201,Y,0.04,Potential
Small Parcel,1,24 Hours,75,1881,141075,108297,0.2323444976076555,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,3181,1615,5137315,3904530,0.2399667919915364,Y,0.04,Potential
Large Parcel,8,1-2 Weeks,201,498,100098,78261,0.2181562069172211,N,0.0,Potential
Small Parcel,3,72 Hours,988,377,372476,334755,0.1012709543702144,Y,0.19,Potential
Large Parcel,7,1-2 Weeks,419,173,72487,58228,0.196711134410308,N,0.0,Potential
Large Parcel,11,1-2 Weeks,207,3539,732573,558112,0.2381482801031433,Y,0.12,Current
Large Parcel,24,3-4 Weeks,453,1264,572592,515375,0.0999263000530919,Y,0.02,Current
Small Parcel,23,3-4 Weeks,777,58,45066,37898,0.1590556073314694,Y,0.06,Current
Large Parcel,2,48 Hours,1233,549,676917,593127,0.1237817930410966,N,0.0,Potential
Small Parcel,18,2-3 Weeks,169,55,9295,7004,0.2464766003227541,Y,0.04,Current
Large Parcel,3,72 Hours,2234,310,692540,577064,0.1667427152222254,N,0.0,Current
Large Parcel,2,48 Hours,75,367,27525,21610,0.2148955495004541,Y,0.04,Potential
Large Parcel,1,24 Hours,371,730,270830,211678,0.2184100727393567,Y,0.09,Current
Large Parcel,18,2-3 Weeks,739,1943,1435877,1325077,0.0771653839430536,N,0.0,Potential
Large Parcel,13,1-2 Weeks,369,877,323613,290248,0.1031015441283261,Y,0.03,Potential
Large Parcel,3,72 Hours,3263,1956,6382428,6061183,0.0503327260409361,Y,0.03,Potential
Small Parcel,1,24 Hours,238,50,11900,11105,0.0668067226890756,Y,0.02,Potential
Small Parcel,1,24 Hours,404,1644,664176,517381,0.2210182240851822,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,150,5294,794100,710307,0.1055194559879108,N,0.0,Potential
Small Parcel,1,24 Hours,1978,1522,3010516,2415896,0.1975143131609332,N,0.0,Potential
Large Parcel,13,1-2 Weeks,1110,111,123210,107910,0.1241782322863404,N,0.0,Potential
Large Parcel,1,24 Hours,933,556,518748,397809,0.2331363205255731,Y,0.06,Potential
Large Parcel,7,1-2 Weeks,825,81,66825,62884,0.05897493453049,Y,0.02,Potential
Small Parcel,8,1-2 Weeks,540,997,538380,423346,0.213666926706044,N,0.0,Potential
Large Parcel,3,72 Hours,109,3715,404935,330170,0.1846345709805277,N,0.0,Current
Large Parcel,5,Less Than 1 Week,79,209,16511,14517,0.1207679728665738,Y,0.02,Potential
Small Parcel,1,24 Hours,1022,1035,1057770,981491,0.0721130302428694,N,0.0,Potential
Small Parcel,15,2-3 Weeks,2369,378,895482,838568,0.0635568330798385,N,0.0,Potential
Large Parcel,8,1-2 Weeks,1421,493,700553,647251,0.0760856066564556,N,0.0,Potential
Large Parcel,3,72 Hours,81,648,52488,44059,0.1605890870294162,N,0.0,Current
Large Parcel,21,3-4 Weeks,469,242,113498,103817,0.0852966572098186,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,620,61,37820,29407,0.2224484399788471,N,0.0,Potential
Small Parcel,16,2-3 Weeks,111,576,63936,56743,0.1125031281281281,Y,0.07,Potential
Small Parcel,9,1-2 Weeks,2284,1750,3997000,3236767,0.1902009006755066,N,0.0,Potential
Large Parcel,2,48 Hours,748,3011,2252228,1716354,0.237930618036895,N,0.0,Potential
Small Parcel,15,2-3 Weeks,2502,3299,8254098,7283521,0.1175872881567434,Y,0.2,Potential
Large Parcel,3,72 Hours,80,564,45120,37778,0.1627216312056737,N,0.0,Potential
Small Parcel,8,1-2 Weeks,896,50,44800,36176,0.1925,Y,0.11,Current
Small Parcel,2,48 Hours,684,189,129276,119329,0.0769439029672947,Y,0.02,Potential
Large Parcel,9,1-2 Weeks,450,1910,859500,785825,0.085718440954043,Y,0.01,Potential
Large Parcel,1,24 Hours,730,779,568670,475473,0.1638859092267923,Y,0.06,Potential
Large Parcel,3,72 Hours,582,183,106506,95831,0.1002290950744559,Y,0.02,Potential
Small Parcel,3,72 Hours,793,763,605059,518999,0.1422340631244225,Y,0.03,Potential
Large Parcel,2,48 Hours,1042,1521,1584882,1405306,0.1133055962525916,Y,0.02,Potential
Small Parcel,3,72 Hours,287,3588,1029756,915058,0.1113836675872731,Y,0.11,Potential
Large Parcel,21,3-4 Weeks,234,62,14508,13166,0.0925006892748828,Y,0.07,Potential
Small Parcel,2,48 Hours,563,1122,631686,554642,0.1219656601539372,N,0.0,Potential
Small Parcel,1,24 Hours,2053,280,574840,524500,0.0875721940018092,Y,0.01,Potential
Small Parcel,9,1-2 Weeks,1566,511,800226,691293,0.1361277938982237,Y,0.06,Potential
Large Parcel,2,48 Hours,322,189,60858,47038,0.227086003483519,N,0.0,Potential
Small Parcel,20,2-3 Weeks,133,2297,305501,237792,0.2216326624135436,N,0.0,Potential
Small Parcel,13,1-2 Weeks,2499,502,1254498,1156145,0.0784002844165554,N,0.0,Potential
Large Parcel,3,72 Hours,238,92,21896,18716,0.1452320058458165,N,0.0,Current
Small Parcel,3,72 Hours,1074,913,980562,885761,0.0966802711098329,Y,0.01,Potential
Large Parcel,13,1-2 Weeks,572,1059,605748,543189,0.1032756195645714,Y,0.01,Potential
Small Parcel,25,3-4 Weeks,195,497,96915,75052,0.2255894340401382,Y,0.01,Potential
Small Parcel,1,24 Hours,986,942,928812,720685,0.2240787156066028,Y,0.11,Potential
Large Parcel,1,24 Hours,300,403,120900,100798,0.1662696443341604,Y,0.15,Potential
Large Parcel,1,24 Hours,396,499,197604,150063,0.240587235076213,N,0.0,Potential
Large Parcel,2,48 Hours,1184,1098,1300032,1108895,0.1470248424654162,N,0.0,Current
Large Parcel,5,Less Than 1 Week,526,1104,580704,454463,0.2173930263955474,N,0.0,Potential
Small Parcel,2,48 Hours,449,1258,564842,454400,0.1955272447870377,Y,0.02,Potential
Small Parcel,24,3-4 Weeks,260,538,139880,111954,0.1996425507577924,Y,0.06,Potential
Small Parcel,15,2-3 Weeks,502,513,257526,212983,0.1729650598386182,Y,0.03,Potential
Small Parcel,27,3-4 Weeks,267,365,97455,78886,0.1905392232312349,N,0.0,Potential
Large Parcel,1,24 Hours,732,154,112728,98808,0.1234830743027464,N,0.0,Current
Large Parcel,26,3-4 Weeks,1226,3615,4431990,4018036,0.0934013840283935,Y,0.06,Potential
Small Parcel,21,3-4 Weeks,291,260,75660,68578,0.0936029606132698,N,0.0,Current
Small Parcel,2,48 Hours,93,919,85467,67804,0.2066645605906373,Y,0.03,Potential
Small Parcel,20,2-3 Weeks,548,52,28496,22713,0.2029407636159461,Y,0.08,Potential
Large Parcel,26,3-4 Weeks,1232,139,171248,130196,0.2397225077081192,Y,0.07,Current
Small Parcel,3,72 Hours,218,3208,699344,548184,0.2161454162758242,N,0.0,Potential
Large Parcel,10,1-2 Weeks,201,143,28743,25463,0.1141147409804126,N,0.0,Potential
Small Parcel,4,Less Than 1 Week,1710,403,689130,631678,0.0833688854062368,N,0.0,Potential
Small Parcel,5,Less Than 1 Week,924,3117,2880108,2425989,0.1576742955472503,N,0.0,Potential
Small Parcel,16,2-3 Weeks,762,787,599694,489484,0.1837770596337465,Y,0.17,Current
Small Parcel,6,Less Than 1 Week,2283,1910,4360530,3741350,0.141996500425407,N,0.0,Potential
Large Parcel,23,3-4 Weeks,1183,761,900263,676984,0.2480153021950252,Y,0.04,Potential
Large Parcel,11,1-2 Weeks,75,176,13200,12204,0.0754545454545454,N,0.0,Potential
Small Parcel,2,48 Hours,246,1843,453378,422638,0.0678021430241432,Y,0.03,Potential
Large Parcel,21,3-4 Weeks,226,1098,248148,199180,0.1973338491545368,Y,0.03,Potential
Small Parcel,2,48 Hours,1566,50,78300,59776,0.2365772669220945,N,0.0,Potential
Large Parcel,12,1-2 Weeks,274,1563,428262,400508,0.0648061233543952,Y,0.04,Current
Small Parcel,3,72 Hours,893,50,44650,36936,0.1727659574468085,N,0.0,Potential
Small Parcel,1,24 Hours,335,1291,432485,386408,0.10654011121773,N,0.0,Current
Large Parcel,1,24 Hours,762,2626,2001012,1791106,0.104899920640156,N,0.0,Potential
Large Parcel,1,24 Hours,380,462,175560,151753,0.1356060606060606,N,0.0,Potential
Small Parcel,3,72 Hours,1645,3849,6331605,5004703,0.2095680321182385,Y,0.02,Potential
Large Parcel,3,72 Hours,570,555,316350,268341,0.1517591275486012,N,0.0,Potential
Small Parcel,7,1-2 Weeks,165,727,119955,104601,0.1279979992497186,N,0.0,Potential
Large Parcel,6,Less Than 1 Week,701,295,206795,177427,0.1420150390483329,N,0.0,Potential
Large Parcel,10,1-2 Weeks,582,50,29100,25289,0.1309621993127147,Y,0.06,Potential
Small Parcel,19,2-3 Weeks,125,670,83750,67041,0.199510447761194,N,0.0,Potential
Small Parcel,2,48 Hours,672,297,199584,171187,0.1422809443642776,Y,0.04,Potential
Small Parcel,1,24 Hours,2455,829,2035195,1571365,0.2279044514162033,N,0.0,Current
Small Parcel,3,72 Hours,681,1155,786555,665434,0.1539892315222711,Y,0.01,Potential
Large Parcel,3,72 Hours,1073,1079,1157767,1068869,0.0767840161275973,N,0.0,Current
Small Parcel,2,48 Hours,440,554,243760,225504,0.0748933377092221,N,0.0,Current
Small Parcel,10,1-2 Weeks,4378,680,2977040,2432089,0.1830512858409695,Y,0.02,Potential
Large Parcel,9,1-2 Weeks,816,307,250512,200702,0.1988327904451683,N,0.0,Potential
Small Parcel,3,72 Hours,761,848,645328,566593,0.122007723204324,Y,0.1,Potential
Small Parcel,13,1-2 Weeks,575,168,96600,75422,0.2192339544513457,N,0.0,Current
Large Parcel,2,48 Hours,1700,205,348500,278113,0.2019713055954089,Y,0.03,Potential
Large Parcel,9,1-2 Weeks,2684,648,1739232,1636465,0.0590875742856617,Y,0.1,Potential
Small Parcel,3,72 Hours,228,2630,599640,481639,0.1967864051764392,N,0.0,Potential
Small Parcel,6,Less Than 1 Week,1902,580,1103160,916130,0.1695402298850574,N,0.0,Potential
Large Parcel,3,72 Hours,1189,588,699132,643618,0.0794041754632887,N,0.0,Current
Small Parcel,2,48 Hours,125,175,21875,18901,0.1359542857142857,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,445,2812,1251340,1155909,0.0762630460146722,N,0.0,Current
Large Parcel,2,48 Hours,1353,639,864567,736688,0.1479110352349789,Y,0.25,Potential
Large Parcel,19,2-3 Weeks,258,1768,456144,358429,0.2142196323967869,Y,0.13,Potential
Large Parcel,4,Less Than 1 Week,649,1488,965712,884676,0.0839132163626422,Y,0.01,Current
Large Parcel,24,3-4 Weeks,271,150,40650,35836,0.1184255842558425,N,0.0,Potential
Large Parcel,3,72 Hours,133,585,77805,63071,0.1893708630550735,Y,0.18,Potential
Small Parcel,8,1-2 Weeks,727,2617,1902559,1762936,0.0733869488410083,N,0.0,Current
Large Parcel,11,1-2 Weeks,196,875,171500,159884,0.0677317784256559,Y,0.13,Potential
Large Parcel,2,48 Hours,2135,542,1157170,1028666,0.1110502346241261,N,0.0,Potential
Large Parcel,6,Less Than 1 Week,75,341,25575,20086,0.2146236559139785,N,0.0,Potential
Large Parcel,25,3-4 Weeks,1010,531,536310,405063,0.2447222688370532,N,0.0,Potential
Small Parcel,19,2-3 Weeks,3399,679,2307921,1831276,0.2065256999697996,Y,0.02,Potential
Large Parcel,2,48 Hours,513,309,158517,122282,0.2285874701136155,Y,0.06,Potential
Large Parcel,3,72 Hours,459,638,292842,272092,0.0708573223786205,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,186,568,105648,87514,0.1716454641829471,N,0.0,Potential
Large Parcel,13,1-2 Weeks,1253,1145,1434685,1089630,0.2405092407044055,N,0.0,Potential
Large Parcel,2,48 Hours,2417,140,338380,302863,0.1049618771795023,N,0.0,Current
Small Parcel,6,Less Than 1 Week,1690,1028,1737320,1571199,0.0956191144981926,N,0.0,Potential
Small Parcel,1,24 Hours,1397,2294,3204718,2988999,0.0673129429796943,N,0.0,Potential
Small Parcel,1,24 Hours,2864,424,1214336,1070184,0.1187084958364077,N,0.0,Current
Small Parcel,3,72 Hours,1637,1019,1668103,1414959,0.1517556170092614,N,0.0,Potential
Small Parcel,2,48 Hours,221,253,55913,45314,0.189562355802765,N,0.0,Potential
Small Parcel,3,72 Hours,580,1226,711080,597386,0.159889182651741,Y,0.11,Potential
Small Parcel,4,Less Than 1 Week,732,253,185196,147477,0.2036707056307911,Y,0.03,Current
Small Parcel,1,24 Hours,1583,289,457487,371685,0.1875506845003246,Y,0.04,Potential
Large Parcel,26,3-4 Weeks,3267,951,3106917,2730856,0.1210399247871764,N,0.0,Potential
Small Parcel,4,Less Than 1 Week,2393,451,1079243,874870,0.1893669914931113,Y,0.1,Current
Large Parcel,23,3-4 Weeks,944,2976,2809344,2553942,0.0909116149535265,N,0.0,Current
Large Parcel,1,24 Hours,574,755,433370,390520,0.0988762489327826,N,0.0,Potential
Small Parcel,17,2-3 Weeks,812,302,245224,186138,0.2409470524907839,N,0.0,Potential
Large Parcel,1,24 Hours,887,1119,992553,839741,0.1539585291667044,Y,0.17,Potential
Small Parcel,13,1-2 Weeks,2112,506,1068672,841711,0.2123766693616001,N,0.0,Current
Large Parcel,3,72 Hours,1379,1334,1839586,1558902,0.1525799826700138,N,0.0,Potential
Small Parcel,1,24 Hours,202,1542,311484,236549,0.2405741546917337,N,0.0,Potential
Large Parcel,2,48 Hours,75,197,14775,12114,0.1801015228426395,N,0.0,Potential
Small Parcel,3,72 Hours,277,50,13850,11940,0.1379061371841155,N,0.0,Potential
Small Parcel,3,72 Hours,795,106,84270,65719,0.2201376527827222,Y,0.01,Potential
Small Parcel,3,72 Hours,456,1890,861840,782049,0.0925821498189919,N,0.0,Current
Large Parcel,8,1-2 Weeks,2384,2460,5864640,5093925,0.131417273694549,Y,0.04,Potential
Small Parcel,27,3-4 Weeks,439,1024,449536,347379,0.227249875427107,Y,0.01,Current
Large Parcel,3,72 Hours,75,121,9075,8036,0.1144903581267217,N,0.0,Potential
Small Parcel,12,1-2 Weeks,414,730,302220,235527,0.2206769902719872,N,0.0,Potential
Large Parcel,21,3-4 Weeks,228,50,11400,9109,0.2009649122807017,Y,0.09,Current
Large Parcel,1,24 Hours,676,1304,881504,833556,0.0543934003702762,N,0.0,Potential
Large Parcel,25,3-4 Weeks,1272,684,870048,716499,0.1764833664349553,N,0.0,Potential
Small Parcel,19,2-3 Weeks,75,3276,245700,203646,0.1711599511599511,Y,0.08,Potential
Small Parcel,17,2-3 Weeks,263,2887,759281,694550,0.0852530222671184,N,0.0,Potential
Large Parcel,21,3-4 Weeks,1212,1707,2068884,1703586,0.1765676567656765,Y,0.34,Potential
Small Parcel,2,48 Hours,75,1133,84975,71198,0.1621300382465431,N,0.0,Current
Large Parcel,1,24 Hours,75,50,3750,3099,0.1736,Y,0.07,Current
Small Parcel,26,3-4 Weeks,914,320,292480,237361,0.1884539113785558,Y,0.01,Current
Small Parcel,2,48 Hours,1523,1068,1626564,1371529,0.156793707471701,Y,0.09,Potential
Small Parcel,5,Less Than 1 Week,855,215,183825,143277,0.220579355365157,N,0.0,Current
Small Parcel,6,Less Than 1 Week,203,729,147987,133051,0.1009277841972605,Y,0.03,Current
Large Parcel,5,Less Than 1 Week,712,1923,1369176,1059623,0.2260870771909528,N,0.0,Current
Large Parcel,26,3-4 Weeks,1384,1244,1721696,1500597,0.1284193028269799,N,0.0,Potential
Large Parcel,2,48 Hours,740,4465,3304100,2569829,0.2222302593747162,N,0.0,Potential
Small Parcel,3,72 Hours,2964,318,942552,881299,0.0649863349714392,N,0.0,Potential
Large Parcel,18,2-3 Weeks,476,254,120904,109460,0.0946536094752861,Y,0.0,Current
Small Parcel,22,3-4 Weeks,1945,785,1526825,1418490,0.0709544315818774,N,0.0,Potential
Small Parcel,2,48 Hours,353,382,134846,113362,0.159322486391884,Y,0.14,Potential
Small Parcel,2,48 Hours,854,2180,1861720,1663468,0.1064886234235008,N,0.0,Potential
Small Parcel,14,2-3 Weeks,683,667,455561,351896,0.2275545975182248,Y,0.29,Potential
Large Parcel,17,2-3 Weeks,932,1485,1384020,1163431,0.1593828123871042,N,0.0,Current
Large Parcel,24,3-4 Weeks,2238,553,1237614,1043296,0.1570101824963195,N,0.0,Potential
Large Parcel,1,24 Hours,2263,2530,5725390,4862747,0.1506697360354491,Y,0.05,Potential
Large Parcel,2,48 Hours,310,886,274660,212780,0.2252967305031675,N,0.0,Current
Large Parcel,11,1-2 Weeks,1142,188,214696,192668,0.1026008868353392,N,0.0,Potential
Small Parcel,3,72 Hours,75,245,18375,14549,0.2082176870748299,N,0.0,Current
Large Parcel,14,2-3 Weeks,675,1526,1030050,877768,0.1478394252706179,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,818,50,40900,38111,0.0681907090464547,N,0.0,Potential
Large Parcel,27,3-4 Weeks,160,66,10560,9659,0.0853219696969697,N,0.0,Current
Large Parcel,3,72 Hours,734,104,76336,67698,0.1131576189478096,N,0.0,Potential
Small Parcel,19,2-3 Weeks,882,2417,2131794,1600487,0.2492299912655725,Y,0.11,Potential
Small Parcel,16,2-3 Weeks,184,2288,420992,390808,0.0716973244147157,N,0.0,Potential
Small Parcel,2,48 Hours,135,160,21600,18493,0.1438425925925926,Y,0.02,Potential
Small Parcel,20,2-3 Weeks,527,574,302498,258826,0.1443712024542311,N,0.0,Potential
Small Parcel,2,48 Hours,884,1236,1092624,819882,0.2496210956376576,N,0.0,Potential
Small Parcel,12,1-2 Weeks,97,50,4850,4102,0.1542268041237113,Y,0.07,Potential
Large Parcel,3,72 Hours,131,349,45719,39709,0.1314551936831514,Y,0.06,Current
Large Parcel,16,2-3 Weeks,533,1720,916760,870480,0.050482132728304,N,0.0,Potential
Small Parcel,27,3-4 Weeks,1291,407,525437,490637,0.066230585208122,N,0.0,Current
Large Parcel,1,24 Hours,1093,961,1050373,906950,0.1365448274089299,Y,0.1,Potential
Small Parcel,14,2-3 Weeks,875,315,275625,257535,0.0656326530612244,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,6041,950,5738950,5346031,0.0684653115988116,Y,0.07,Potential
Small Parcel,1,24 Hours,913,510,465630,380162,0.1835534651976891,N,0.0,Potential
Small Parcel,16,2-3 Weeks,543,3364,1826652,1515901,0.1701205265151764,Y,0.02,Potential
Large Parcel,7,1-2 Weeks,75,640,48000,44735,0.0680208333333333,N,0.0,Potential
Large Parcel,3,72 Hours,334,557,186038,166766,0.1035917393220739,N,0.0,Potential
Large Parcel,24,3-4 Weeks,586,1000,586000,527126,0.1004675767918088,N,0.0,Current
Large Parcel,1,24 Hours,877,165,144705,126053,0.1288967209149649,N,0.0,Potential
Large Parcel,17,2-3 Weeks,1169,1427,1668163,1355801,0.1872490877690009,Y,0.09,Potential
Large Parcel,20,2-3 Weeks,75,3438,257850,229634,0.109427961993407,Y,0.08,Potential
